country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source
Austria,AT,2020-W01,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W02,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W03,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W04,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W05,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W06,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W07,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W08,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W09,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W10,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W11,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W12,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W13,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W14,national,AT,Austria,NA,NA,8932664,NA,NA,NA
Austria,AT,2020-W15,national,AT,Austria,1838,12339,8932664,138.13348403119159,14.895858659534808,Manual webscraping
Austria,AT,2020-W16,national,AT,Austria,686,58488,8932664,654.7654764580868,1.172890165504035,Manual webscraping
Austria,AT,2020-W17,national,AT,Austria,449,33443,8932664,374.38999160832645,1.3425829022515923,Manual webscraping
Austria,AT,2020-W18,national,AT,Austria,310,26598,8932664,297.7611158328579,1.1655011655011656,Country website
Austria,AT,2020-W19,national,AT,Austria,260,42153,8932664,471.89729737959465,0.6168007022038764,Country website
Austria,AT,2020-W20,national,AT,Austria,324,46001,8932664,514.9751518695878,0.7043325145105541,Country website
Austria,AT,2020-W21,national,AT,Austria,264,39348,8932664,440.49569087116674,0.6709362610551998,Country website
Austria,AT,2020-W22,national,AT,Austria,195,46677,8932664,522.5428830637758,0.41776463783019474,Country website
Austria,AT,2020-W23,national,AT,Austria,228,41063,8932664,459.6948905723981,0.555244380585929,Country website
